price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
52.8,2,1.0,0.0,1.0,0,0,4.0,100.0,40.61738,22.96212,1,0,0,0,0,0
47.0,4,3.0,1.0,1.0,0,0,3.0,13.0,40.65278,22.91245,1,0,0,1,1,1
47.0,2,1.0,1.0,1.0,0,0,4.0,10.0,40.65082,22.91199,1,0,0,0,1,1
46.53,2,1.0,1.0,1.0,0,0,4.0,41.0,40.65102,22.91265,1,0,0,0,1,1
50.53,3,2.0,1.0,1.0,0,0,4.0,29.0,40.65281,22.91256,1,0,0,0,1,1
45.94,2,2.0,0.0,1.0,1,0,4.0,9.0,40.64184,22.92664,1,0,0,0,0,1
90.48,2,1.0,1.0,1.0,0,0,4.0,38.0,40.6282,22.9523,1,0,0,0,0,1
109.84,4,3.0,2.0,1.0,1,1,4.0,79.0,40.6411,22.938,1,0,0,0,0,0
58.28,4,2.0,1.0,1.0,1,0,4.0,132.0,40.6418,22.9292,1,0,0,0,0,1
56.4,4,2.0,1.0,1.0,1,0,4.0,93.0,40.6418,22.9292,1,0,0,0,0,1
61.51,6,3.0,2.0,1.0,1,1,4.0,113.0,40.61625,22.97287,1,0,0,0,0,1
54.8,3,2.0,0.0,1.0,0,0,4.0,26.0,40.63813,22.93888,1,0,0,0,0,1
78.2,4,2.0,1.0,1.0,1,1,4.0,92.0,40.64361,22.928,1,0,0,0,0,1
54.74,4,2.0,2.0,1.0,0,0,4.0,49.0,40.6484,22.928,1,0,0,0,0,1
84.84,6,4.0,2.0,1.0,1,1,4.0,101.0,40.64214,22.94384,1,0,0,0,0,1
54.05,2,1.0,1.0,1.0,1,0,4.0,56.0,40.6455,22.922,1,0,0,0,0,1
71.5,6,3.0,2.0,1.0,1,0,4.0,77.0,40.6184,22.9563,1,0,0,0,0,1
77.55,2,2.0,1.0,1.0,0,1,5.0,13.0,40.6559,22.9047,1,0,0,1,0,0
296.0,5,2.0,2.0,2.0,1,1,4.0,71.0,40.64781443793568,22.928443858061044,1,0,0,0,0,1
64.63,12,13.0,3.0,1.0,0,0,4.0,591.0,40.6463,22.9252,1,0,0,1,1,1
61.35,2,1.0,1.0,1.0,1,1,4.0,67.0,40.60379043525244,22.961986420332124,1,0,0,0,0,1
46.51,2,1.0,0.0,1.0,1,0,4.0,81.0,40.65004,22.92965,1,0,0,0,0,1
52.41,3,2.0,1.0,1.0,0,0,4.0,21.0,40.6537,22.9118,1,0,0,1,0,0
52.88,5,3.0,1.0,1.0,1,1,4.0,37.0,40.6503,22.9282,1,0,0,0,0,0
69.33,4,1.0,2.0,1.0,1,1,4.0,44.0,40.6475,22.9318,1,0,0,0,0,0
